"Subject" "ActivityName" "tBodyAccMag.mean" "tBodyAccMag.std" "tGravityAccMag.mean" "tGravityAccMag.std" "tBodyAccJerkMag.mean" "tBodyAccJerkMag.std" "tBodyGyroMag.mean" "tBodyGyroMag.std" "tBodyGyroJerkMag.mean" "tBodyGyroJerkMag.std" "fBodyAccMag.mean" "fBodyAccMag.std" "fBodyAccMag.meanFreq" "fBodyBodyAccJerkMag.mean" "fBodyBodyAccJerkMag.std" "fBodyBodyAccJerkMag.meanFreq" "fBodyBodyGyroMag.mean" "fBodyBodyGyroMag.std" "fBodyBodyGyroMag.meanFreq" "fBodyBodyGyroJerkMag.mean" "fBodyBodyGyroJerkMag.std" "fBodyBodyGyroJerkMag.meanFreq"
1 "WALKING_DOWNSTAIRS" -0.0140828025671429 -0.101515471785714 -0.0140828025671429 -0.101515471785714 -0.219716752860714 -0.173363865521429 -0.0916624324642857 -0.204749539785714 -0.405708505357143 -0.461512406071429 -0.06760317325 -0.264349880378571 0.0622787128796429 -0.119701861678571 -0.254298875903571 0.0667480923 -0.248337149392857 -0.324706683214286 0.157159054428571 -0.435965402464286 -0.537559601428571 0.215462239928571
1 "WALKING_UPSTAIRS" -0.492214147385266 -0.531818239176489 -0.492214147385266 -0.531818239176489 -0.574021004097179 -0.545989980899812 -0.509087500201881 -0.525740915096552 -0.660039846322884 -0.668775141492163 -0.51451018417837 -0.618268506526646 0.149065098523511 -0.532375042459436 -0.567060313747649 0.211756115083887 -0.560164643022571 -0.587806637924765 0.0568356864581818 -0.664403718243574 -0.698823947630094 0.196501616180533
2 "WALKING" -0.535281800541722 -0.552812545643709 -0.535281800541722 -0.552812545643709 -0.58777744543543 -0.512115278415232 -0.614771054893146 -0.680584887880795 -0.746559539039735 -0.740088733655629 -0.514569861316887 -0.646662308457285 0.192199738218212 -0.509746432970861 -0.518800797709272 0.193066821118212 -0.699742945221854 -0.725310337688742 0.0471324812379801 -0.751615078360927 -0.744194981440397 0.124612068599768
3 "WALKING_DOWNSTAIRS" -0.563140802770059 -0.591224780306452 -0.563140802770059 -0.591224780306452 -0.650182434328446 -0.607658214170381 -0.643150121648094 -0.674010290979472 -0.784056656246334 -0.80366136372434 -0.579076453758064 -0.663079838985044 0.0770665587562757 -0.604752108072727 -0.615643694857361 0.11231984174566 -0.716822144279179 -0.703839403007038 -0.0846075231245126 -0.810085498651026 -0.810032718739003 0.0599628733252199
4 "WALKING" -0.56158213510694 -0.606556049548896 -0.56158213510694 -0.606556049548896 -0.656116311856877 -0.647249966810726 -0.656291093847319 -0.706738493542587 -0.819191368044164 -0.844187064164038 -0.602098037677603 -0.672948341687697 0.0963636689322397 -0.63501900541041 -0.666506718936908 0.160479882559811 -0.745650754608833 -0.732586304826498 -0.129301517256877 -0.838833209652997 -0.863096864037855 0.159075727514984
5 "WALKING_DOWNSTAIRS" -0.460866415568709 -0.52162345171192 -0.460866415568709 -0.52162345171192 -0.589313870006622 -0.589031268133113 -0.602770284825828 -0.664078383532781 -0.707383517582782 -0.734187493344371 -0.528503022745033 -0.594259529756954 0.0781455594845364 -0.573176177044172 -0.613485123609272 0.131619298935099 -0.677355755703311 -0.715731148145695 0.062219113935298 -0.748829309536424 -0.735610602483444 0.0307564556565894
6 "WALKING_DOWNSTAIRS" -0.464770006998123 -0.483790606354154 -0.464770006998123 -0.483790606354154 -0.551413652396923 -0.502935062310769 -0.549494852037046 -0.579837818063692 -0.621936158532308 -0.644474485460492 -0.473974924380431 -0.570910289993846 0.102346682227846 -0.494882316238462 -0.516711262173969 0.0831165453227692 -0.579130051151385 -0.657368673849846 0.104193397607938 -0.651886909221538 -0.660175875210246 0.081817622852
7 "WALKING_DOWNSTAIRS" -0.511312036747403 -0.510669879158539 -0.511312036747403 -0.510669879158539 -0.622815767680292 -0.550560230585714 -0.581899897967532 -0.598670795839286 -0.713191348337662 -0.658017844948377 -0.518323878824675 -0.583819796092208 -0.0106873745212792 -0.553360009658182 -0.550683254908442 0.108695730522532 -0.628877272791136 -0.650923648207792 -0.0352276334005552 -0.668879188156396 -0.668963362464935 0.0631920436939935
8 "SITTING" -0.360642734297765 -0.478154547792179 -0.360642734297765 -0.478154547792179 -0.443233657336201 -0.488311280762011 -0.384089748443911 -0.514821632079888 -0.620014686122905 -0.666549346351955 -0.427111328334078 -0.59384213912514 0.123912840102179 -0.442103958836313 -0.558810587379888 0.27710509822905 -0.549477566316201 -0.578223176773743 -0.0436386705603352 -0.650017653313408 -0.714053548100559 0.224033151154749
8 "WALKING_DOWNSTAIRS" -0.657841168134314 -0.687208716852941 -0.657841168134314 -0.687208716852941 -0.693970947105882 -0.698126595419608 -0.637885629840196 -0.698301555280392 -0.767707293078431 -0.802335816990196 -0.661265500205882 -0.753064279735294 0.186252413454314 -0.682168739176471 -0.721947141656863 0.261743136914706 -0.71616765577451 -0.739249164401961 0.0126013250103049 -0.793654280423529 -0.828833099803922 0.223249497754902
9 "WALKING" -0.505183470509188 -0.553038255314792 -0.505183470509188 -0.553038255314792 -0.621608245092361 -0.608862145384722 -0.550201866572569 -0.663198385034722 -0.7629795809375 -0.786176892048611 -0.553186448295139 -0.624456827182986 -0.00358269125034722 -0.609193721940625 -0.611619343190972 0.0983598303289236 -0.700863097986111 -0.697729432621528 -0.108828634535764 -0.786473954201389 -0.801296292638889 0.0927763736788194
10 "WALKING" -0.502500207000204 -0.545348810631551 -0.502500207000204 -0.545348810631551 -0.57776193128833 -0.529340480130272 -0.521819802352381 -0.624408369413333 -0.734465805340136 -0.768821828979592 -0.518734046961905 -0.633196110969728 0.173253569411224 -0.515140810846939 -0.553027359614864 0.163072697936429 -0.661496552826531 -0.666014612598639 0.0120855942278469 -0.767780095068027 -0.787144257176871 0.153580253720748
